Game,TCP,UDP,
.hack//G.U.: Last Recode Playstation 4,"1935, 3478-3480","3074, 3478-3479",
.hack//G.U.: Last Recode,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
007 Legends,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
007 Legends Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
007 Legends Xbox 360,3074,"88, 3074",
007: Blood Stone Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
007: Blood Stone Xbox 360,3074,"88, 3074",
007: Quantum of Solace,3074,"88, 3074",
007: Quantum of Solace Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
007: Quantum of Solace Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
007: Quantum of Solace Xbox 360,3074,"88, 3074",
1 vs. 100 Xbox 360,3074,"88, 3074",
1001 Spikes,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
1001 Spikes Playstation 4,"1935, 3478-3480","3074, 3478-3479",
1001 Spikes Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
1001 Spikes Xbox One,3074,"88, 500, 3074, 3544, 4500",
100ft Robot Golf Playstation 4,"1935, 3478-3480","3074, 3478-3479",
100ft Robot Golf,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
11 Eyes Cross Over Xbox 360,3074,3074,
11-11: Memories Retold Playstation 4,"1935, 3478-3480","3074, 3478-3479",
11-11: Memories Retold Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
11-11: Memories Retold Xbox One,3074,"88, 500, 3074, 3544, 4500",
112 Operator Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
13 Sentinels: Aegis Rim Playstation 4,"1935, 3478-3480","3074, 3478-3479",
1942 Joint Strike Xbox 360,3074,3074,
1942 Joint Strike Playstation 3,5223,"5223, 3478, 3479, 3658",
1AVStreamer,"80, 8070","80, 8070",
1st SMTP Server,25,,
2 Days to Vegas Xbox 360,3074,3074,
2006 FIFA World Cup Xbox 360,3074,"88, 3074",
2006 FIFA World Cup,3658,,
2014 FIFA World Cup Brazil Xbox 360,3074,3074,
2014 FIFA World Cup Brazil Playstation 3,5223,"5223, 3478-3479, 3658",
2064: Read Only Memories Playstation 4,"1935, 3478-3480","3074, 3478-3479",
2064: Read Only Memories Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
2064: Read Only Memories Xbox One,3074,"88, 500, 3074, 3544, 4500",
2064: Read Only Memories Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
20XX,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
20XX Playstation 4,"1935, 3478-3480","3074, 3478-3479",
21 Ball Snooker Champion Xbox 360,3074,3074,
21 Ball Snooker LIVE Xbox 360,3074,3074,
2Dark,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
2Dark Playstation 4,"1935, 3478-3480","3074, 3478-3479",
2Dark Xbox One,3074,"88, 500, 3074, 3544, 4500",
3-In-A-Bed,4871,4871,
303 Squadron: Battle of Britain,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
3CX,"5060, 5090","5060, 9000-9015",
3D Ultra Minigolf Adventures Xbox 360,3074,3074,
50 Cent: Blood on the Sand Xbox 360,3074,"88, 3074",
50 Cent: Blood on the Sand Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
6GUN II Playstation 3,5223,"5223, 3478, 3479, 3658",
7 Days to Die,"8080-8081, 25000-25003, 26900","8080-8081, 25000-25003, 26900",
7 Days to Die Playstation 4,"1935, 3478-3480","3074, 3478-3479",
7 Days to Die Xbox One,3074,"88, 500, 3074, 3544, 4500",
7Links PX-3615-675,80,,
8-Bit Armies Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
8-Bit Armies Playstation 4,"1935, 3478-3480","3074, 3478-3479",
8-Bit Armies Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
8-Bit Armies Xbox One,3074,"88, 500, 3074, 3544, 4500",
8-Bit Hordes Playstation 4,"1935, 3478-3480","3074, 3478-3479",
8-Bit Hordes Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
8-Bit Hordes Xbox One,3074,"88, 500, 3074, 3544, 4500",
8-Bit Invaders! Playstation 4,"1935, 3478-3480","3074, 3478-3479",
8-Bit Invaders! Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
8-Bit Invaders! Xbox One,3074,"88, 500, 3074, 3544, 4500",
88 Heroes Playstation 4,"1935, 3478-3480","3074, 3478-3479",
88 Heroes Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
88 Heroes Xbox One,3074,"88, 500, 3074, 3544, 4500",
9 Monkeys of Shaolin,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
9 Monkeys of Shaolin Playstation 4,"1935, 3478-3480","3074, 3478-3479",
9 Monkeys of Shaolin Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
9 Monkeys of Shaolin Xbox One,3074,"88, 500, 3074, 3544, 4500",
90s Super GP Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
90s Super GP Playstation 4,"1935, 3478-3480","3074, 3478-3479",
90s Super GP Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
911 Operator Playstation 4,"1935, 3478-3480","3074, 3478-3479",
911 Operator Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
911 Operator Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
911 Operator Xbox One,3074,"88, 500, 3074, 3544, 4500",
A Case of Distrust Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Case of Distrust Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
A City Sleeps,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Fistful of Gun,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
A Fold Apart Playstation 4,"1935, 3478-3480","3074, 3478-3479",
A Fold Apart Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Fold Apart Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
A Fold Apart Xbox One,3074,"88, 500, 3074, 3544, 4500",
A Handful of Keflings Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Hat in Time Playstation 4,"1935, 3478-3480","3074, 3478-3479",
A Hat in Time Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Hat in Time Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
A Hat in Time Xbox One,3074,"88, 500, 3074, 3544, 4500",
A Kingdom for Keflings Xbox 360,3074,"88, 3074",
A Pixel Story,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Pixel Story Playstation 4,"1935, 3478-3480","3074, 3478-3479",
A Pixel Story Xbox One,3074,"88, 500, 3074, 3544, 4500",
A Ressha de Ikou HX Xbox 360,3074,3074,
A Story About My Uncle Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
A Valley Without Wind,32322,32322,
A Way Out,"1024-1124, 3216, 9960-9969, 18000, 18120, 18060, 27900, 28910, 29900","1024-1124, 18000, 29900",
A Way Out Playstation 4,"1935, 3478-3480","3074, 3478-3479",
A Way Out Xbox One,3074,"88, 500, 3074, 3544, 4500",
A World of Keflings Xbox 360,3074,"88, 3074",
Aarklash: Legacy Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
ABBA: You Can Dance Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Absolute: Blazing Infinity Xbox 360,3074,"88, 3074",
Absolver Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Absolver Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Absolver Xbox One,3074,"88, 500, 3074, 3544, 4500",
Abyss Odyssey Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Abyss Odyssey Xbox 360,3074,3074,
Abyss Odyssey Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Abyss Odyssey Playstation 3,5223,"5223, 3478-3479, 3658",
ABZU Playstation 4,"1935, 3478-3480","3074, 3478-3479",
ABZU Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
ABZU Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
ABZU Xbox One,3074,"88, 500, 3074, 3544, 4500",
AC/DC Live: Rock Band - Track Pack Xbox 360,3074,"88, 3074",
AC/DC Live: Rock Band - Track Pack Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
AC/DC Live: Rock Band - Track Pack Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Accel World VS Sword Art Online: Millennium Twilight Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Accel World VS Sword Art Online: Millennium Twilight Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Access Denied Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Access Denied Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Access Denied Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Access Denied Xbox One,3074,"88, 500, 3074, 3544, 4500",
Access Remote PC,34012,34012,
Ace Combat 6: Fires of Liberation Xbox 360,3074,"88, 3074",
Ace Combat 7: Skies Unknown Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ace Combat 7: Skies Unknown Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Ace Combat 7: Skies Unknown Xbox One,3074,"88, 500, 3074, 3544, 4500",
Ace Combat: Assault Horizon,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ace Combat: Assault Horizon Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Ace Combat: Assault Horizon Xbox 360,3074,"88, 3074",
Ace Combat: Infinity Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Ace of Spades,32887,32887,
Ace Stream,8621,8621,
Aces High,2000-7000,2000-7000,
Aces of the Galaxy Xbox 360,3074,3074,
Aces of the Luftwaffe: Squadron Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Aces of the Luftwaffe: Squadron Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Aces of the Luftwaffe: Squadron Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Aces of the Luftwaffe: Squadron Xbox One,3074,"88, 500, 3074, 3544, 4500",
Achtung! Cthulhu Tactics: The Forest of Fear Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Achtung! Cthulhu Tactics: The Forest of Fear Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Achtung! Cthulhu Tactics: The Forest of Fear Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Achtung! Cthulhu Tactics: The Forest of Fear Xbox One,3074,"88, 500, 3074, 3544, 4500",
Act of War: Direct Action,12222,,
ACTi ENR-1000,80,,
ACTi ENR-1100,80,,
Action PC Baseball 2017,1452,,
Action PC Basketball 2017,1452,,
Action PC Football 2006,"1451-1454, 32019",,
Action PC Football 2010,32019,,
Action PC Football 2017,32019,,
Active Life: Explorer Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Active Life: Extreme Challenge Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Active Life: Magical Carnival Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Active Life: Outdoor Challenge Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Active Webcam,User Specified Ports,,
Active Worlds,"3000, 5670, 7777, 7000-7100",,
Active Worlds File Transfer,3000,,
Adeptus Titanicus: Dominus Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Advanced Tactical Center,3333,3333,
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Adventure Time: Explore the Dungeon Because I DON'T KNOW! Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Adventure Time: Explore the Dungeon Because I DON'T KNOW! Xbox 360,3074,"88, 3074",
Adventure Time: Finn & Jake Investigations,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Adventure Time: Finn & Jake Investigations Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Adventure Time: Finn & Jake Investigations Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Adventure Time: Finn & Jake Investigations Xbox 360,3074,"88, 3074",
Adventure Time: Finn & Jake Investigations Xbox One,3074,"88, 500, 3074, 3544, 4500",
Adventure Time: Magic Man's Head Games,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Adventure Time: The Secret of the Nameless Kingdom,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Adventure Time: The Secret of the Nameless Kingdom Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Adventure Time: The Secret of the Nameless Kingdom Xbox 360,3074,"88, 3074",
Aegis Defenders Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Aegis Defenders Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Aegis Defenders Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Aegis of Earth: Protonovus Assault Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Aegis of Earth: Protonovus Assault Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Aegis Wing Xbox 360,3074,"88, 3074",
AegisM,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
AER: Memories of Old Playstation 4,"1935, 3478-3480","3074, 3478-3479",
AER: Memories of Old Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
